Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR29397945,miRNA-Seq,17,116083034,PRJNA1123679,SAMN41818032,107669140,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Control,SRX24911840,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326866,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:47:00Z,1,GSM8326866,Serum exosome,SRP513741,Serum exosome
SRR29397946,miRNA-Seq,14,83822316,PRJNA1123679,SAMN41818033,79693377,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Control,SRX24911839,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326865,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:47:00Z,1,GSM8326865,Serum exosome,SRP513741,Serum exosome
SRR29397947,miRNA-Seq,13,58990598,PRJNA1123679,SAMN41818034,58036273,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Control,SRX24911838,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326864,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326864,Serum exosome,SRP513741,Serum exosome
SRR29397948,miRNA-Seq,12,131596560,PRJNA1123679,SAMN41818035,127071784,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911837,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326863,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326863,Serum exosome,SRP513741,Serum exosome
SRR29397949,miRNA-Seq,12,78640883,PRJNA1123679,SAMN41818036,76472117,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911836,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326862,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:47:00Z,1,GSM8326862,Serum exosome,SRP513741,Serum exosome
SRR29397950,miRNA-Seq,15,381503828,PRJNA1123679,SAMN41818037,340995944,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX24911835,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326861,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326861,Serum exosome,SRP513741,Serum exosome
SRR29397951,miRNA-Seq,11,96530548,PRJNA1123679,SAMN41818038,94669868,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Control,SRX24911834,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326860,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326860,Serum exosome,SRP513741,Serum exosome
SRR29397952,miRNA-Seq,12,334133930,PRJNA1123679,SAMN41818039,311769886,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911833,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326859,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326859,Serum exosome,SRP513741,Serum exosome
SRR29397953,miRNA-Seq,15,198612661,PRJNA1123679,SAMN41818040,188548756,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911832,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326858,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326858,Serum exosome,SRP513741,Serum exosome
SRR29397954,miRNA-Seq,11,68674045,PRJNA1123679,SAMN41818041,69769062,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Control,SRX24911831,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326857,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326857,Serum exosome,SRP513741,Serum exosome
SRR29397955,miRNA-Seq,15,83941839,PRJNA1123679,SAMN41818042,80812511,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX24911830,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326856,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326856,Serum exosome,SRP513741,Serum exosome
SRR29397956,miRNA-Seq,13,42996765,PRJNA1123679,SAMN41818043,41998333,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Control,SRX24911829,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326855,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326855,Serum exosome,SRP513741,Serum exosome
SRR29397957,miRNA-Seq,13,74750243,PRJNA1123679,SAMN41818044,72962026,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911828,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326854,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326854,Serum exosome,SRP513741,Serum exosome
SRR29397958,miRNA-Seq,14,146025877,PRJNA1123679,SAMN41818045,140649416,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Control,SRX24911827,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326853,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326853,Serum exosome,SRP513741,Serum exosome
SRR29397959,miRNA-Seq,13,112880034,PRJNA1123679,SAMN41818046,108862889,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Control,SRX24911826,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326852,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326852,Serum exosome,SRP513741,Serum exosome
